relative_path,status,reason,original_size,optimized_size
Raptor_random_loc_1364946963270991875/p1_World_-_Google_Chrome_24.04.2025_14_53_08.png,kept,reused_existing,1366824,401968
RocketGlobalColl_1398290694413746278/p1_image.png,kept,reused_existing,287368,91750
Rocket_Launcher_V3_1364972260766646293/m1_World_-_Google_Chrome_24.04.2025_14_53_08.png,kept,reused_existing,1366824,401968
Rover-LavaCargo_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Rover-LavaCargo_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Rover-LavaCargo_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
Rover-RingedPlanet_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Rover-RingedPlanet_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Rover-RingedPlanet_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
Rover.2.11_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Rover.2.11_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Rover.2.11_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
SPICEXPortal_1354289316314087515/p1_brave_iUo8WLJkxq.mp4,kept,reused_existing,2011729,930552
SimonSaysBoard_1354675175769243730/p0_2025-03-27_00-21-03_1.mp4,kept,reused_existing,24675762,11434206
SimonSays_Screen_1354675175769243730/p0_2025-03-27_00-21-03_1.mp4,kept,reused_existing,24675762,11434206
SimonSays_Screen_2_1355352717488296077/m1_2025-03-28_19-57-21.mp4,kept,reused_existing,51388974,4958834
SimonSays_Screen_2_1355352717488296077/p0_2025-03-28_21-20-07.mp4,kept,reused_existing,41354343,4586229
Smoke_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
SmolWrld_1356346677895626905/p5_Screenshot_2025-03-31_at_1.28.44_PM.png,kept,reused_existing,470962,144274
Solar_Panel_-_sundown_1356250138967932979/m5_xyz-skelly-200.mp4,kept,reused_existing,66631142,29296679
SpeedTrail_v0.1_1361987355577421954/m1_2025-04-14_23-09-26_1.mp4,kept,reused_existing,20824923,3480678
SplinePineV1_1346505141473382451/m1_splinepine0001-1000.mp4,kept,reused_existing,41661734,15421926
Super_Run_1445419285118976091/p0_super-run.mp4,kept,reused_existing,3831860,455138
Text_link_option_1426148371101651037/p3_IMG_1244.png,kept,reused_existing,1795377,734956
The_Grid_1415309781345894431/m4_image.png,kept,reused_existing,250120,93374
The_Meadow_1415309781345894431/m4_image.png,kept,reused_existing,250120,93374
Tornado_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
TriggerZone_1440322008935301211/p1_triggerzone.mp4,kept,reused_existing,3387124,511224
Vanguard_1355903733090750595/m6_xyz-skelly.mp4,kept,reused_existing,23984304,9033986
Vanguard_1355903733090750595/m8_CamSwitcher.mp4,kept,reused_existing,109622271,22409746
Video_Channel_Changer_1363859162676596797/m3_IMG_1182.png,kept,reused_existing,1437170,475224
Video_Channel_Changer_1363859162676596797/m5_xyz-screen-remote-many.mp4,kept,reused_existing,15635033,6008505
Video_with_player_UI_1447233812231880724/p0_video_player_ui.png,kept,reused_existing,792039,228959
Wall_Hang_1437891700369658059/m3_image.png,kept,reused_existing,1097426,432421
Wall_Hang_1437891700369658059/m4_image.png,kept,reused_existing,1708670,577117
Wall_Hang_1437891700369658059/m7_image.png,kept,reused_existing,941133,340225
Wall_Hang_1437891700369658059/m8_Desktop_2025.11.11_-_10.41.47.01.mp4,kept,reused_existing,26282590,718000
Wall_Hang_1437891700369658059/p2_Desktop_2025.11.11_-_17.21.42.05.mp4,kept,reused_existing,47521529,1893114
Water_Fountain_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
Weightpaint_ScreenUI_test1_1420742160474701966/p4_coins.mp4,kept,reused_existing,4277727,669483
Wolf_Maro_1356607622211440731/m5_image.png,kept,reused_existing,56026,12285
Wolf_Maro_1356607622211440731/m6_image.png,kept,reused_existing,115755,28417
Wolf_Maro_1356607622211440731/p4_image.png,kept,reused_existing,567657,198494
anybox_1354967082164424814/p0_image.png,kept,reused_existing,860352,167863
anybox_1354967082164424814/p0_image_1354967081921151006.png,kept,reused_existing,654855,140089
broke-rom_1355215078328369344/p3_Screenshot_2025-03-28_at_9.28.05_AM.png,kept,reused_existing,106820,26297
broke-rom_1355215078328369344/p4_Screenshot_2025-03-28_at_9.28.16_AM.png,kept,reused_existing,111648,20478
broke-rom_1355215078328369344/p6_hyper-server-alpha.mov,kept,reused_existing,31509281,2744993
car1_1353196235074441290/m6_susanequip.png,kept,reused_existing,1096471,254566
dash_1356968685415301160/m2_image.png,kept,reused_existing,137088,30064
eel_add_particles1_1362421603765325946/m1_eel_add_particles.mp4,kept,reused_existing,19424997,1971016
eel_add_particles1_1_1362432359785304154/m5_eel_add_particles.mp4,kept,reused_existing,19424997,1971016
hexagonal_test_basic_1355683928421171290/p0_image.png,kept,reused_existing,934262,385735
hexagonal_test_networked_1355683928421171290/p0_image.png,kept,reused_existing,934262,385735
hover-cursor-test_1402653679030636655/m2_image.png,kept,reused_existing,10293,4490
hover-cursor-test_1402653679030636655/m3_image.png,kept,reused_existing,4069,1613
monkey_head_1360004867166437467/m2_image.png,kept,reused_existing,44224,11568
position_1398154516133839002/p1_xyz-temp.mp4,kept,reused_existing,26440318,1349181
rom2_1355042999578660955/m3_image.png,kept,reused_existing,1463616,458084
spawn_1355236590603075706/m2_image.png,kept,reused_existing,911768,225293
test_level_1355236430376341764/m1_image.png,kept,reused_existing,911768,225293
who_there_1397545277300412447/m1_image.png,kept,reused_existing,1146796,390272
